tahun,kode_kabupaten_kota,nama_kabupaten_kota,persentase_penduduk_miskin
2018,3217,KABUPATEN BANDUNG BARAT,10.06
2018,3218,KABUPATEN PANGANDARAN,8.12
2018,3271,KOTA BOGOR,5.93
2018,3272,KOTA SUKABUMI,7.12
2018,3273,KOTA BANDUNG,3.57
2018,3274,KOTA CIREBON,8.88
2018,3275,KOTA BEKASI,4.11
2018,3276,KOTA DEPOK,2.14
2018,3277,KOTA CIMAHI,4.94
2018,3278,KOTA TASIKMALAYA,12.71
2018,3279,KOTA BANJAR,5.7
2019,3201,KABUPATEN BOGOR,6.66
2019,3202,KABUPATEN SUKABUMI,6.22
2019,3203,KABUPATEN CIANJUR,9.15
2019,3204,KABUPATEN BANDUNG,5.94
2019,3205,KABUPATEN GARUT,8.98
2019,3206,KABUPATEN TASIKMALAYA,9.12
2019,3207,KABUPATEN CIAMIS,6.65
2019,3208,KABUPATEN KUNINGAN,11.41
2019,3209,KABUPATEN CIREBON,9.94
2019,3210,KABUPATEN MAJALENGKA,10.06
2019,3211,KABUPATEN SUMEDANG,9.05
2019,3212,KABUPATEN INDRAMAYU,11.11
2019,3213,KABUPATEN SUBANG,8.12
2019,3214,KABUPATEN PURWAKARTA,7.48
2019,3215,KABUPATEN KARAWANG,7.39
2019,3216,KABUPATEN BEKASI,4.01
2019,3217,KABUPATEN BANDUNG BARAT,9.38
2019,3218,KABUPATEN PANGANDARAN,7.71
2019,3271,KOTA BOGOR,5.77
2019,3272,KOTA SUKABUMI,6.67
2019,3273,KOTA BANDUNG,3.38
2019,3274,KOTA CIREBON,8.41
2019,3275,KOTA BEKASI,3.81
2019,3276,KOTA DEPOK,2.07
2019,3277,KOTA CIMAHI,4.39
2019,3278,KOTA TASIKMALAYA,11.6
2019,3279,KOTA BANJAR,5.5
2020,3201,KABUPATEN BOGOR,7.69
2020,3202,KABUPATEN SUKABUMI,7.09
2020,3203,KABUPATEN CIANJUR,10.36
2020,3204,KABUPATEN BANDUNG,6.91
2020,3205,KABUPATEN GARUT,9.98
2020,3206,KABUPATEN TASIKMALAYA,10.34
2020,3207,KABUPATEN CIAMIS,7.62
2020,3208,KABUPATEN KUNINGAN,12.82
2020,3209,KABUPATEN CIREBON,11.24
2020,3210,KABUPATEN MAJALENGKA,11.43
2020,3211,KABUPATEN SUMEDANG,10.26
2020,3212,KABUPATEN INDRAMAYU,12.7
2020,3213,KABUPATEN SUBANG,9.31
2020,3214,KABUPATEN PURWAKARTA,8.27
2020,3215,KABUPATEN KARAWANG,8.26
2020,3216,KABUPATEN BEKASI,4.82
2020,3217,KABUPATEN BANDUNG BARAT,10.49
2020,3218,KABUPATEN PANGANDARAN,8.99
2020,3271,KOTA BOGOR,6.68
2020,3272,KOTA SUKABUMI,7.7
2020,3273,KOTA BANDUNG,3.99
2020,3274,KOTA CIREBON,9.52
2020,3275,KOTA BEKASI,4.38
2020,3276,KOTA DEPOK,2.45
2020,3277,KOTA CIMAHI,5.11
2020,3278,KOTA TASIKMALAYA,12.97
2020,3279,KOTA BANJAR,6.09
2021,3201,KABUPATEN BOGOR,8.13
2021,3202,KABUPATEN SUKABUMI,7.7
2021,3203,KABUPATEN CIANJUR,11.18
2021,3204,KABUPATEN BANDUNG,7.15
2021,3205,KABUPATEN GARUT,10.65
2021,3206,KABUPATEN TASIKMALAYA,11.15
2021,3207,KABUPATEN CIAMIS,7.97
2021,3208,KABUPATEN KUNINGAN,13.1
2021,3209,KABUPATEN CIREBON,12.3
2021,3210,KABUPATEN MAJALENGKA,12.33
2021,3211,KABUPATEN SUMEDANG,10.71
2021,3212,KABUPATEN INDRAMAYU,13.04
2021,3213,KABUPATEN SUBANG,10.03
2021,3214,KABUPATEN PURWAKARTA,8.83
2021,3215,KABUPATEN KARAWANG,8.95
2021,3216,KABUPATEN BEKASI,5.21
2021,3217,KABUPATEN BANDUNG BARAT,11.3
2021,3218,KABUPATEN PANGANDARAN,9.65
2021,3271,KOTA BOGOR,7.24
2021,3272,KOTA SUKABUMI,8.25
2021,3273,KOTA BANDUNG,4.37
2021,3274,KOTA CIREBON,10.03
2021,3275,KOTA BEKASI,4.74
2021,3276,KOTA DEPOK,2.58
2021,3277,KOTA CIMAHI,5.35
2021,3278,KOTA TASIKMALAYA,13.13
2021,3279,KOTA BANJAR,7.11
2022,3201,KABUPATEN BOGOR,7.73
2022,3202,KABUPATEN SUKABUMI,7.34
2022,3203,KABUPATEN CIANJUR,10.55
2022,3204,KABUPATEN BANDUNG,6.8
2022,3205,KABUPATEN GARUT,10.42
2022,3206,KABUPATEN TASIKMALAYA,10.73
2022,3207,KABUPATEN CIAMIS,7.72
2022,3208,KABUPATEN KUNINGAN,12.76
2022,3209,KABUPATEN CIREBON,12.01
2022,3210,KABUPATEN MAJALENGKA,11.94
2022,3211,KABUPATEN SUMEDANG,10.14
2022,3212,KABUPATEN INDRAMAYU,12.77
2022,3213,KABUPATEN SUBANG,9.75
2022,3214,KABUPATEN PURWAKARTA,8.7
2022,3215,KABUPATEN KARAWANG,8.44
2022,3216,KABUPATEN BEKASI,5.01
2022,3217,KABUPATEN BANDUNG BARAT,10.82
2022,3218,KABUPATEN PANGANDARAN,9.32
2022,3271,KOTA BOGOR,7.1
2022,3272,KOTA SUKABUMI,8.02
2022,3273,KOTA BANDUNG,4.25
2022,3274,KOTA CIREBON,9.82
2022,3275,KOTA BEKASI,4.43
2022,3276,KOTA DEPOK,2.53
2022,3277,KOTA CIMAHI,5.11
2022,3278,KOTA TASIKMALAYA,12.72
2022,3279,KOTA BANJAR,6.73
2023,3201,KABUPATEN BOGOR,7.27
2023,3202,KABUPATEN SUKABUMI,7.01
2023,3203,KABUPATEN CIANJUR,10.22
2023,3204,KABUPATEN BANDUNG,6.4
2023,3205,KABUPATEN GARUT,9.77
2023,3206,KABUPATEN TASIKMALAYA,10.28
2023,3207,KABUPATEN CIAMIS,7.42
2023,3208,KABUPATEN KUNINGAN,12.12
2023,3209,KABUPATEN CIREBON,11.2
2023,3210,KABUPATEN MAJALENGKA,11.21
2023,3211,KABUPATEN SUMEDANG,9.36
2023,3212,KABUPATEN INDRAMAYU,12.13
2023,3213,KABUPATEN SUBANG,9.52
2023,3214,KABUPATEN PURWAKARTA,8.46
2023,3215,KABUPATEN KARAWANG,7.87
2023,3216,KABUPATEN BEKASI,4.93
2023,3217,KABUPATEN BANDUNG BARAT,10.52
2023,3218,KABUPATEN PANGANDARAN,8.98
2023,3271,KOTA BOGOR,6.67
2023,3272,KOTA SUKABUMI,7.5
2023,3273,KOTA BANDUNG,3.96
2023,3274,KOTA CIREBON,9.16
2023,3275,KOTA BEKASI,4.1
2023,3276,KOTA DEPOK,2.38
2023,3277,KOTA CIMAHI,4.66
2023,3278,KOTA TASIKMALAYA,11.53
2023,3279,KOTA BANJAR,6.14
2024,3201,KABUPATEN BOGOR,7.05
2024,3202,KABUPATEN SUKABUMI,6.87
2024,3203,KABUPATEN CIANJUR,10.14
2024,3204,KABUPATEN BANDUNG,6.19
2024,3205,KABUPATEN GARUT,9.68
2024,3206,KABUPATEN TASIKMALAYA,10.23
2024,3207,KABUPATEN CIAMIS,7.39
2024,3208,KABUPATEN KUNINGAN,11.88
2024,3209,KABUPATEN CIREBON,11.0
2024,3210,KABUPATEN MAJALENGKA,10.82
2024,3211,KABUPATEN SUMEDANG,9.1
2024,3212,KABUPATEN INDRAMAYU,11.93
2024,3213,KABUPATEN SUBANG,9.49
2024,3214,KABUPATEN PURWAKARTA,8.41
2024,3215,KABUPATEN KARAWANG,7.86
2024,3216,KABUPATEN BEKASI,4.8
2024,3217,KABUPATEN BANDUNG BARAT,10.49
2024,3218,KABUPATEN PANGANDARAN,8.75
2024,3271,KOTA BOGOR,6.53
2024,3272,KOTA SUKABUMI,7.2
2024,3273,KOTA BANDUNG,3.87
2024,3274,KOTA CIREBON,9.02
2024,3275,KOTA BEKASI,4.01
2024,3276,KOTA DEPOK,2.34
2024,3277,KOTA CIMAHI,4.39
2024,3278,KOTA TASIKMALAYA,11.1
2024,3279,KOTA BANJAR,5.85
